    E(eV)    dE(eV)  Phi(deg)    dPhi      Theta    dTheta   Log10(FDV)
				(deg)      (deg)    (deg)     FDV in s^3/km^3/cm^3
  18.2066    5.4752  192.3750   45.0000   56.2500   22.5000  -10.2680
  18.2066    5.4752  214.8750   90.0000   78.7500   22.5000  -10.4234
  18.2066    5.4752   46.1250   22.5000  -11.2500   22.5000  -10.6473
  18.2066    5.4752   68.6250   22.5000  -11.2500   22.5000  -10.5705
  18.2066    5.4752   46.1250   22.5000  -33.7500   22.5000  -10.5881
  18.2066    5.4752   68.6250   22.5000  -33.7500   22.5000  -10.5492
  18.2066    5.4752   23.6250   22.5000  -11.2500   22.5000  -10.6971
  18.2066    5.4752    1.1250   22.5000  -11.2500   22.5000  -10.7337
  18.2066    5.4752   23.6250   22.5000  -33.7500   22.5000  -10.6306
  18.2066    5.4752    1.1250   22.5000  -33.7500   22.5000  -10.6550
  18.2066    5.4752   57.3750   45.0000  -56.2500   22.5000  -10.5152
  18.2066    5.4752   12.3750   45.0000  -56.2500   22.5000  -10.5317
  18.2066    5.4752   34.8750   90.0000  -78.7500   22.5000  -10.4317
  18.2066    5.4752   46.1250   22.5000   11.2500   22.5000  -10.6605
  18.2066    5.4752   68.6250   22.5000   11.2500   22.5000  -10.5775
  18.2066    5.4752   46.1250   22.5000   33.7500   22.5000  -10.6271
  18.2066    5.4752   68.6250   22.5000   33.7500   22.5000  -10.5660
  18.2066    5.4752   23.6250   22.5000   11.2500   22.5000  -10.7195
  18.2066    5.4752    1.1250   22.5000   11.2500   22.5000  -10.7505
  18.2066    5.4752   23.6250   22.5000   33.7500   22.5000  -10.6773
  18.2066    5.4752    1.1250   22.5000   33.7500   22.5000  -10.6942
  18.2066    5.4752   57.3750   45.0000   56.2500   22.5000  -10.5605
  18.2066    5.4752   12.3750   45.0000   56.2500   22.5000  -10.5959
  18.2066    5.4752   34.8750   90.0000   78.7500   22.5000  -10.4992
  18.2066    5.4752  293.6250   22.5000  -11.2500   22.5000  -10.5794
  18.2066    5.4752  271.1250   22.5000  -11.2500   22.5000  -10.4809
  18.2066    5.4752  293.6250   22.5000  -33.7500   22.5000  -10.5248
  18.2066    5.4752  271.1250   22.5000  -33.7500   22.5000  -10.4642
  18.2066    5.4752  316.1250   22.5000  -11.2500   22.5000  -10.6578
  18.2066    5.4752  338.6250   22.5000  -11.2500   22.5000  -10.7134
  18.2066    5.4752  316.1250   22.5000  -33.7500   22.5000  -10.5990
  18.2066    5.4752  338.6250   22.5000  -33.7500   22.5000  -10.6365
  18.2066    5.4752  282.3750   45.0000  -56.2500   22.5000  -10.4532
  18.2066    5.4752  327.3750   45.0000  -56.2500   22.5000  -10.5041
  18.2066    5.4752  304.8750   90.0000  -78.7500   22.5000  -10.4155
  18.2066    5.4752  293.6250   22.5000   11.2500   22.5000  -10.5891
  18.2066    5.4752  271.1250   22.5000   11.2500   22.5000  -10.4940
  18.2066    5.4752  293.6250   22.5000   33.7500   22.5000  -10.5647
  18.2066    5.4752  271.1250   22.5000   33.7500   22.5000  -10.4863
  18.2066    5.4752  316.1250   22.5000   11.2500   22.5000  -10.6744
  18.2066    5.4752  338.6250   22.5000   11.2500   22.5000  -10.7471
  18.2066    5.4752  316.1250   22.5000   33.7500   22.5000  -10.6484
  18.2066    5.4752  338.6250   22.5000   33.7500   22.5000  -10.6942
  18.2066    5.4752  282.3750   45.0000   56.2500   22.5000  -10.4872
  18.2066    5.4752  327.3750   45.0000   56.2500   22.5000  -10.5644
  18.2066    5.4752  304.8750   90.0000   78.7500   22.5000  -10.4665
  24.5942    7.5905  114.3750   22.5000  -11.2500   22.5000  -10.5566
  24.5942    7.5905   91.8750   22.5000  -11.2500   22.5000  -10.7041
  24.5942    7.5905  114.3750   22.5000  -33.7500   22.5000  -10.5702
  24.5942    7.5905   91.8750   22.5000  -33.7500   22.5000  -10.7133
  24.5942    7.5905  136.8750   22.5000  -11.2500   22.5000  -10.4518
  24.5942    7.5905  159.3750   22.5000  -11.2500   22.5000  -10.3646
